simulation_id,numeric_simulation_id,row_index,iteration,time_s,x_min_m,x_max_m,y_min_m,y_max_m,z_min_m,z_max_m,delta_x_m,delta_y_m,delta_z_m,center_x_m,center_y_m,center_z_m,penetration_depth_m,melt_bounds_valid,in_selected_window
sim_00001,1,9138,9138.0,0.0001661344,-2.643708e-05,0.000121688,-5.742677e-05,5.823306e-05,-4.255386e-05,1.242893e-05,0.00014812508000000001,0.00011565983,5.4982790000000004e-05,4.7625460000000004e-05,4.0314499999999934e-07,-1.5062465000000001e-05,4.255386e-05,True,False
sim_00001,1,9310,9310.0,0.0001692605,-2.540979e-05,0.000125292,-5.692444e-05,5.691159e-05,-4.262734e-05,1.276119e-05,0.00015070178999999998,0.00011383603,5.538853e-05,4.9941104999999996e-05,-6.42500000000223e-09,-1.4933075e-05,4.262734e-05,True,False
sim_00001,1,9483,9483.0,0.0001724049,-2.47473e-05,0.0001228517,-5.796011e-05,5.823546e-05,-4.259287e-05,1.21203e-05,0.000147599,0.00011619557000000001,5.471317e-05,4.905219999999999e-05,1.3767499999999864e-07,-1.5236285e-05,4.259287e-05,True,False
sim_00001,1,9655,9655.0,0.000175531,-2.372903e-05,0.0001293131,-5.804078e-05,5.815484e-05,-4.262232e-05,1.329144e-05,0.00015304212999999998,0.00011619562,5.5913760000000004e-05,5.2792034999999994e-05,5.7029999999998334e-08,-1.466544e-05,4.262232e-05,True,False
sim_00001,1,9827,9827.0,0.0001786572,-2.28194e-05,0.000129687,-5.763537e-05,5.81663e-05,-4.270641e-05,1.220806e-05,0.00015250639999999998,0.00011580166999999999,5.491447e-05,5.3433799999999997e-05,2.6546500000000035e-07,-1.5249175000000001e-05,4.270641e-05,True,False
sim_00001,1,10000,10000.0,0.0001818015,-2.266795e-05,0.0001290469,-5.787903e-05,5.861908e-05,-4.276354e-05,1.192811e-05,0.00015171485,0.00011649811,5.469165e-05,5.3189474999999994e-05,3.700249999999999e-07,-1.5417715e-05,4.276354e-05,True,False
sim_00001,1,10172,10172.0,0.0001849277,-2.170871e-05,0.0001325929,-5.747819e-05,5.920231e-05,-4.275731e-05,1.193946e-05,0.00015430160999999997,0.00011668050000000001,5.469677e-05,5.5442094999999995e-05,8.620600000000003e-07,-1.5408925e-05,4.275731e-05,True,False
sim_00001,1,10345,10345.0,0.000188072,-2.144455e-05,0.0001305208,-5.862657e-05,5.945372e-05,-4.274993e-05,1.221886e-05,0.00015196534999999998,0.00011808028999999999,5.4968789999999994e-05,5.4538124999999994e-05,4.135750000000005e-07,-1.5265535e-05,4.274993e-05,True,False
sim_00001,1,10517,10517.0,0.0001911982,-2.114604e-05,0.0001367601,-5.946298e-05,5.925274e-05,-4.290299e-05,1.320413e-05,0.00015790613999999998,0.00011871572,5.610712e-05,5.780703e-05,-1.0512000000000146e-07,-1.484943e-05,4.290299e-05,True,False
sim_00001,1,10689,10689.0,0.0001943243,-2.062247e-05,0.0001369685,-5.938726e-05,5.950528e-05,-4.282811e-05,1.245047e-05,0.00015759097,0.00011889254,5.5278579999999995e-05,5.8173014999999994e-05,5.901000000000132e-08,-1.5188819999999999e-05,4.282811e-05,True,False
sim_00001,1,10862,10862.0,0.0001974687,-1.877647e-05,0.0001417614,-5.954063e-05,5.926656e-05,-4.299867e-05,1.252518e-05,0.00016053786999999998,0.00011880719,5.5523849999999995e-05,6.1492465e-05,-1.3703499999999792e-07,-1.5236744999999999e-05,4.299867e-05,True,False
sim_00001,1,11034,11034.0,0.0002005948,-1.924597e-05,0.0001396736,-5.909847e-05,5.848427e-05,-4.601484e-05,1.27723e-05,0.00015891957000000001,0.00011758274,5.878714e-05,6.0213815000000004e-05,-3.0709999999999914e-07,-1.662127e-05,4.601484e-05,True,False
sim_00001,1,11207,11207.0,0.0002037392,-1.751434e-05,0.0001386956,-5.889761e-05,5.896945e-05,-4.604877e-05,1.265459e-05,0.00015620994,0.00011786705999999999,5.870336e-05,6.0590630000000004e-05,3.592000000000219e-08,-1.6697090000000002e-05,4.604877e-05,True,False
sim_00001,1,11379,11379.0,0.0002068653,-1.698475e-05,0.0001459843,-5.922962e-05,5.932032e-05,-4.605383e-05,1.320104e-05,0.00016296905000000002,0.00011854994,5.925487e-05,6.4499775e-05,4.5350000000001184e-08,-1.6426395e-05,4.605383e-05,True,False
sim_00001,1,11552,11552.0,0.0002100096,-1.691289e-05,0.0001439549,-5.920931e-05,5.883434e-05,-4.613093e-05,1.263872e-05,0.00016086779,0.00011804365,5.876965e-05,6.3521005e-05,-1.8748500000000012e-07,-1.6746105e-05,4.613093e-05,True,False
sim_00001,1,11724,11724.0,0.0002131358,-1.527067e-05,0.0001499835,-5.946842e-05,5.923441e-05,-4.618325e-05,1.235603e-05,0.00016525417,0.00011870283000000001,5.8539279999999996e-05,6.735641499999999e-05,-1.1700500000000279e-07,-1.691361e-05,4.618325e-05,True,False
sim_00001,1,11896,11896.0,0.000216262,-1.52851e-05,0.0001464684,-5.960793e-05,5.917548e-05,-4.624055e-05,1.199269e-05,0.0001617535,0.00011878341,5.823324e-05,6.559165e-05,-2.1622499999999809e-07,-1.7123930000000003e-05,4.624055e-05,True,False
sim_00001,1,12069,12069.0,0.0002194063,-1.305072e-05,0.000149903,-5.963884e-05,5.905553e-05,-4.629094e-05,1.188979e-05,0.00016295372,0.00011869437,5.818073e-05,6.842614000000001e-05,-2.916549999999995e-07,-1.7200574999999998e-05,4.629094e-05,True,False
sim_00001,1,12241,12241.0,0.0002225325,-1.200792e-05,0.0001533467,-5.91578e-05,5.902866e-05,-4.632507e-05,1.179378e-05,0.00016535462,0.00011818646,5.811885e-05,7.066939e-05,-6.457000000000064e-08,-1.7265645e-05,4.632507e-05,True,False
sim_00001,1,12414,12414.0,0.0002256768,-1.222142e-05,0.0001509777,-5.932055e-05,5.931045e-05,-4.645055e-05,1.202049e-05,0.00016319912,0.000118631,5.8471040000000006e-05,6.937814e-05,-5.050000000000909e-09,-1.721503e-05,4.645055e-05,True,False
sim_00001,1,12586,12586.0,0.000228803,-9.871604e-06,0.0001574554,-5.94534e-05,5.947799e-05,-4.639141e-05,1.204111e-05,0.000167327004,0.00011893139,5.8432519999999995e-05,7.3791898e-05,1.2294999999999516e-08,-1.717515e-05,4.639141e-05,True,False
sim_00001,1,12758,12758.0,0.0002319291,-1.080044e-05,0.0001578183,-5.926325e-05,5.94869e-05,-4.642853e-05,1.234607e-05,0.00016861874,0.00011875015000000001,5.87746e-05,7.350893e-05,1.1182499999999956e-07,-1.704123e-05,4.642853e-05,True,False
sim_00001,1,12931,12931.0,0.0002350734,-1.012504e-05,0.0001574009,-5.951717e-05,5.959313e-05,-4.63961e-05,1.163699e-05,0.00016752594,0.0001191103,5.803309e-05,7.363793000000001e-05,3.798000000000061e-08,-1.7379555000000002e-05,4.63961e-05,True,False
sim_00001,1,13103,13103.0,0.0002381996,-9.990518e-06,0.0001605492,-5.937597e-05,5.903719e-05,-4.65216e-05,1.211078e-05,0.000170539718,0.00011841316,5.8632379999999996e-05,7.5279341e-05,-1.6939000000000144e-07,-1.720541e-05,4.65216e-05,True,False
sim_00001,1,13276,13276.0,0.0002413439,-9.196044e-06,0.0001582051,-5.969008e-05,5.931881e-05,-4.665588e-05,1.171749e-05,0.000167401144,0.00011900889,5.8373370000000004e-05,7.4504528e-05,-1.8563499999999945e-07,-1.7469195e-05,4.665588e-05,True,False
sim_00001,1,13448,13448.0,0.0002444704,-6.373642e-06,0.000164815,-5.959614e-05,5.954366e-05,-4.652908e-05,1.268342e-05,0.000171188642,0.0001191398,5.9212499999999996e-05,7.922067899999999e-05,-2.623999999999926e-08,-1.6922830000000002e-05,4.652908e-05,True,False
sim_00001,1,13621,13621.0,0.0002476172,-6.815597e-06,0.0001649765,-5.938947e-05,5.953604e-05,-4.662198e-05,1.271604e-05,0.000171792097,0.00011892551,5.933802e-05,7.908045150000001e-05,7.328500000000043e-08,-1.695297e-05,4.662198e-05,True,False
sim_00001,1,13793,13793.0,0.0002507459,-6.628947e-06,0.0001696334,-5.962119e-05,5.966979e-05,-4.661589e-05,1.227971e-05,0.000176262347,0.00011929097999999999,5.88956e-05,8.150222650000001e-05,2.430000000000246e-08,-1.7168090000000002e-05,4.661589e-05,True,False
sim_00001,1,13965,13965.0,0.0002538745,-6.148868e-06,0.0001675798,-5.952062e-05,5.92312e-05,-4.661493e-05,1.287826e-05,0.00017372866800000002,0.00011875182,5.949319e-05,8.0715466e-05,-1.447099999999995e-07,-1.6868335e-05,4.661493e-05,True,False
sim_00001,1,14138,14138.0,0.0002570214,-5.555032e-06,0.0001662674,-5.96607e-05,5.949095e-05,-4.663732e-05,1.277293e-05,0.000171822432,0.00011915165,5.9410250000000006e-05,8.0356184e-05,-8.487500000000145e-08,-1.6932195e-05,4.663732e-05,True,False
sim_00001,1,14310,14310.0,0.0002601501,-2.700127e-06,0.0001738923,-5.982967e-05,5.954985e-05,-4.662454e-05,1.301312e-05,0.000176592427,0.00011937952,5.9637660000000004e-05,8.55960865e-05,-1.3990999999999914e-07,-1.680571e-05,4.662454e-05,True,False
sim_00001,1,14483,14483.0,0.0002632969,-2.111372e-06,0.0001718189,-5.978797e-05,5.927138e-05,-4.656972e-05,1.282259e-05,0.000173930272,0.00011905935000000001,5.939231e-05,8.485376399999999e-05,-2.582950000000002e-07,-1.6873564999999998e-05,4.656972e-05,True,False
sim_00001,1,14655,14655.0,0.0002664256,-1.297587e-06,0.0001779354,-5.944128e-05,5.97668e-05,-4.667327e-05,1.240857e-05,0.000179232987,0.00011920807999999999,5.908184e-05,8.83189065e-05,1.6275999999999842e-07,-1.713235e-05,4.667327e-05,True,False
sim_00001,1,14827,14827.0,0.0002695542,-1.002603e-06,0.000174516,-5.939552e-05,5.950045e-05,-4.668345e-05,1.270165e-05,0.000175518603,0.00011889596999999999,5.9385099999999995e-05,8.67566985e-05,5.246500000000086e-08,-1.69909e-05,4.668345e-05,True,False
sim_00001,1,15000,15000.0,0.0002727011,-2.145026e-07,0.0001777853,-5.953823e-05,5.924808e-05,-4.669197e-05,1.276467e-05,0.0001779998026,0.00011878630999999999,5.945664e-05,8.878539869999999e-05,-1.4507500000000132e-07,-1.6963649999999998e-05,4.669197e-05,True,False
sim_00001,1,15172,15172.0,0.0002758297,6.890272e-07,0.0001813766,-5.971284e-05,5.939348e-05,-4.6712e-05,1.35571e-05,0.00018068757280000002,0.00011910632,6.02691e-05,9.10328136e-05,-1.596799999999998e-07,-1.657745e-05,4.6712e-05,True,False
sim_00001,1,15345,15345.0,0.0002789766,9.433263e-07,0.0001786719,-5.942738e-05,5.944546e-05,-4.674213e-05,1.290581e-05,0.00017772857369999998,0.00011887284,5.9647940000000005e-05,8.980761315e-05,9.040000000002204e-09,-1.691816e-05,4.674213e-05,True,False
sim_00001,1,15517,15517.0,0.0002821053,2.900872e-06,0.0001855997,-5.962554e-05,5.962788e-05,-4.664984e-05,1.272927e-05,0.000182698828,0.00011925342,5.9379109999999996e-05,9.4250286e-05,1.1699999999971445e-09,-1.6960285e-05,4.664984e-05,True,False
sim_00001,1,15690,15690.0,0.0002852521,2.816526e-06,0.0001856944,-5.950279e-05,5.924127e-05,-4.662449e-05,1.269899e-05,0.000182877874,0.00011874406,5.932348e-05,9.4255463e-05,-1.307599999999994e-07,-1.696275e-05,4.662449e-05,True,False
