subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family,verdict,verdict_after_holm,metric_family
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,roc_auc,False,0.00808095551732076,0.004764346590949223,0.011795383703400204,0.00044997750112494374,20,0.0022498875056247186,IMPROVES,IMPROVES,ranking_or_probability
q30,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,accuracy,False,0.0017538260009539509,-0.003607475220455507,0.007131516864572546,0.615619219039048,20,0.615619219039048,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,balanced_accuracy,False,0.005182671614268569,-0.0022204157873002535,0.012979695534575678,0.1951902404879756,20,0.5855707214639267,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,keyhole_recall,False,0.015088266404055872,0.0004348047440152744,0.029987108819345645,0.04624768761561922,20,0.18499075046247687,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,brier_score,True,-0.0006737262154856233,-0.001866681433296847,0.0005130358546131034,0.30583470826458675,20,0.6116694165291735,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q30,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,pr_auc,False,0.009743574725715503,0.0061413511931195,0.013552299892115318,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
q30,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,roc_auc,False,0.004444764678993229,0.0024783016347138666,0.006388305487181195,0.000599970001499925,20,0.002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,accuracy,False,0.0007142857142857118,-0.00114285714285714,0.0025714285714285635,0.5608719564021799,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,balanced_accuracy,False,0.0039285714285714314,-8.928571428571411e-05,0.007946428571428582,0.08844557772111394,20,0.344182790860457,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,keyhole_recall,False,0.009285714285714303,0.00142857142857144,0.017142857142857165,0.05834708264586771,20,0.29173541322933855,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,brier_score,True,0.0009231051220350963,0.0004654110655185565,0.0013538601045817009,0.0010999450027498626,20,0.0065996700164991755,DEGRADES,DEGRADES,ranking_or_probability
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,pr_auc,False,0.0010805071496566786,-8.902952427096932e-05,0.002225466621396615,0.08604569771511425,20,0.344182790860457,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,roc_auc,False,-7.653061224510704e-06,-0.0006403061224489974,0.0005663265306122323,0.9874506274686266,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,accuracy,False,0.005298684246052671,-0.003802292420713466,0.014442156794130467,0.22533873306334684,20,0.2342882855857207,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,balanced_accuracy,False,0.009052475417349437,-0.0012433962089473394,0.019646366005404016,0.11714414279286035,20,0.2342882855857207,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,keyhole_recall,False,0.026672774643784092,0.008510881799883472,0.04529689569097939,0.016849157542122895,20,0.06739663016849158,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,brier_score,True,-0.001997958907002376,-0.0036629103740159086,-0.0002773259704157559,0.038498075096245185,20,0.11549422528873556,IMPROVES,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,pr_auc,False,0.01453911972232046,0.009243599950281737,0.020320984079881352,9.99950002499875e-05,20,0.000599970001499925,IMPROVES,IMPROVES,ranking_or_probability
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,roc_auc,False,0.008077137923155453,0.004642263047196866,0.011643184678636495,0.0002999850007499625,20,0.0014999250037498126,IMPROVES,IMPROVES,ranking_or_probability
q30,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,accuracy,False,0.0017458534266096947,-0.004078038921155904,0.0075340859165844475,0.6337183140842958,20,0.6337183140842958,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,balanced_accuracy,False,0.005498100597686012,-0.002284159390763141,0.013231743075988718,0.1784910754462277,20,0.5354732263386831,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,keyhole_recall,False,0.016404055877740083,0.0016730381697486938,0.03233463726884777,0.034498275086245686,20,0.13799310034498274,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,brier_score,True,-0.0006831319591784603,-0.0018702665171100715,0.0005567446072249112,0.29303534823258837,20,0.5860706964651767,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q30,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,pr_auc,False,0.009745439368495912,0.006087797406105184,0.013637738354013725,9.99950002499875e-05,20,0.000599970001499925,IMPROVES,IMPROVES,ranking_or_probability
q30,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,roc_auc,False,0.004446201428537411,0.002496308971191817,0.00637721493989971,0.0006499675016249188,20,0.003249837508124594,IMPROVES,IMPROVES,ranking_or_probability
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,accuracy,False,0.0,-0.0007142857142857229,0.0007142857142857229,1.0,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,balanced_accuracy,False,0.0002678571428571419,-0.0008928571428571507,0.0015178571428571541,0.9051047447627618,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,keyhole_recall,False,0.0007142857142857229,-0.0014285714285714236,0.002857142857142875,1.0,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,brier_score,True,-8.370281960990051e-06,-8.761778714468914e-05,7.642537523899561e-05,0.8416079196040198,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,pr_auc,False,-9.901662095354035e-05,-0.0002962396914691538,7.208604298387391e-05,0.3334333283335833,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,roc_auc,False,-5.6122448979595285e-05,-0.00011989795918366797,2.5510204081759246e-06,0.1159942002899855,20,0.6959652017399129,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,accuracy,False,2.1907916645802493e-07,-0.0032552973342446943,0.003255740969556777,1.0,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,balanced_accuracy,False,0.0005294746387279725,-0.0030093110912076506,0.004236064023458003,0.7833108344582771,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,keyhole_recall,False,0.0032369795804862546,-0.003448275862068961,0.00992223502304147,0.5023248837558122,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,brier_score,True,-3.2478690845854505e-05,-0.00027629921642036896,0.0002352139943767607,0.8129593520323983,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,pr_auc,False,-0.0007997641477727913,-0.0022212358915119,0.0003257777966911391,0.28208589570521475,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,roc_auc,False,-3.6481501537549696e-05,-0.00046936079571696697,0.00042209340343918593,0.8658567071646418,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q30,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,accuracy,False,-2.0184461556144174e-05,-0.002268729207888507,0.002216340075853351,0.7491125443727814,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,balanced_accuracy,False,0.0003519786910197886,-0.0020455386893743098,0.003045406279567253,0.8442077896105195,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,keyhole_recall,False,0.001388888888888895,-0.002702702702702697,0.005555555555555564,0.7478126093695315,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,brier_score,True,-1.7470419723782105e-05,-0.00021803905564995237,0.00019021630952641407,0.8691565421728914,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q30,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,pr_auc,False,-0.0005186463663385433,-0.0014942231224116655,0.00022380524688309986,0.31228438578071094,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
