repeat,model,subset,row_count,keyhole_count,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,brier_score
3,gpc_4d_plus_early_p40,q30,113,38,0.9719298245614035,0.9467090419565848,0.9469026548672567,0.9405263157894737,0.9210526315789473,0.96,3,3,0.06329743301749464
3,gpc_4d_plus_early_p40,q20,76,28,0.956845238095238,0.9315963991719466,0.9342105263157895,0.9330357142857143,0.9285714285714286,0.9375,2,3,0.08148153918519413
4,gpc_4d,full,350,70,0.9933673469387755,0.9757289123020207,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.023566354390380857
4,gpc_4d,q30,111,39,0.9615384615384616,0.920033592008142,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.07192184912787117
4,gpc_4d,q20,77,31,0.9347826086956522,0.8713843773925017,0.8831168831168831,0.8706171107994389,0.8064516129032258,0.9347826086956522,6,3,0.0989594203411725
4,gpc_4d_plus_early_p02,full,350,70,0.9909183673469387,0.9682714213233042,0.9714285714285714,0.95,0.9142857142857143,0.9857142857142858,6,4,0.02667679129028559
4,gpc_4d_plus_early_p02,q30,111,39,0.9558404558404558,0.9081922573909046,0.9099099099099099,0.8952991452991452,0.8461538461538461,0.9444444444444444,6,4,0.0773366445279294
4,gpc_4d_plus_early_p02,q20,77,31,0.9242636746143058,0.8647233725572124,0.8701298701298701,0.8597475455820476,0.8064516129032258,0.9130434782608695,6,4,0.10605474973174799
4,gpc_4d_plus_early_p05,full,350,70,0.9927551020408164,0.9721293411216827,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.025326085537975006
4,gpc_4d_plus_early_p05,q30,111,39,0.9622507122507122,0.9191953608765074,0.918918918918919,0.9022435897435898,0.8461538461538461,0.9583333333333334,6,3,0.07466861438597554
4,gpc_4d_plus_early_p05,q20,77,31,0.9340813464235624,0.8684367162099859,0.8831168831168831,0.8706171107994389,0.8064516129032258,0.9347826086956522,6,3,0.10232904071576732
4,gpc_4d_plus_early_p10,full,350,70,0.9926530612244897,0.9718755745602825,0.9742857142857143,0.9517857142857142,0.9142857142857143,0.9892857142857143,6,3,0.02539900081096234
