subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,balanced_accuracy,False,0.005659147806873854,-0.001130368527068452,0.01248681172796244,0.13074346282685867,20,0.392230388480576
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,keyhole_recall,False,0.016642267863763965,0.004662172172122457,0.028754103021214034,0.029798510074496274,20,0.14199290035498224
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,conduction_recall,False,-0.005323972250016268,-0.009584140409170164,-0.0020408163265306146,0.059197040147992604,20,
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,false_negative,True,-0.5,-0.85,-0.15,0.0287985600719964,20,
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,false_positive,True,0.25,0.1,0.45,0.06494675266236688,20,
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,brier_score,True,0.0006617726851963184,-0.0008232720532922549,0.0021460474368076615,0.40287985600719967,20,0.4175791210439478
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,roc_auc,False,0.008113619424693002,0.0046833079431065575,0.011635909944362808,0.000199990000499975,20,0.000999950002499875
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,pr_auc,False,0.01533888387009325,0.010119991972245399,0.020603501575982095,9.99950002499875e-05,20,0.000599970001499925
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,accuracy,False,0.005298465166886213,-0.0019127619949988392,0.01256140774232878,0.1407929603519824,20,0.1528923553822309
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,balanced_accuracy,False,0.008523000778621465,3.54464721988583e-05,0.0173976943693611,0.07644617769111545,20,0.1528923553822309
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,keyhole_recall,False,0.023435795063297838,0.00783731469158853,0.0398498579771174,0.014199290035498226,20,0.0567971601419929
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,conduction_recall,False,-0.006389793506054914,-0.011711778843128389,-0.001018539932161583,0.05694715264236788,20,
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,false_negative,True,-0.7,-1.15,-0.25,0.015549222538873057,20,
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,false_positive,True,0.3,0.05,0.55,0.0671466426678666,20,
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,brier_score,True,-0.001965480216156522,-0.0035946171503121477,-0.0004015278031353081,0.02944852757362132,20,0.08834558272086396
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,roc_auc,False,0.00808095551732076,0.004764346590949223,0.011795383703400204,0.00044997750112494374,20,0.0022498875056247186
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,pr_auc,False,0.014534453829905142,0.009295338744569935,0.01981618176281811,4.999750012499375e-05,20,0.0002999850007499625
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,accuracy,False,0.005290140158561213,-0.0025971616103195073,0.013732557597689165,0.20128993550322483,20,0.22248887555622218
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,balanced_accuracy,False,0.008680451607825624,-0.0011221515123866067,0.018905340374306273,0.11124443777811109,20,0.22248887555622218
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,keyhole_recall,False,0.024887060358069805,0.0070432611135388375,0.04326029790044493,0.019399030048497575,20,0.0775961201939903
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,conduction_recall,False,-0.0075261571424185495,-0.012917705605775525,-0.00210748792270532,0.0271986400679966,20,
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,false_negative,True,-0.75,-1.3,-0.25,0.025548722563871806,20,
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,false_positive,True,0.35,0.1,0.6,0.039098045097745115,20,
q20,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,brier_score,True,-0.0019845243507200052,-0.0035901406020990936,-0.00031632810105408567,0.0391980400979951,20,0.1175941202939853
q20,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,roc_auc,False,0.008150572188165806,0.004653843217418037,0.011707782644406962,0.000199990000499975,20,0.000999950002499875
q20,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,pr_auc,False,0.014586922146541725,0.00934294186643274,0.020026558763524417,4.999750012499375e-05,20,0.0002999850007499625
q20,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,accuracy,False,0.005298684246052671,-0.0038448393711551566,0.014415398198292934,0.2217389130543473,20,0.23228838558072096
q20,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,balanced_accuracy,False,0.009052475417349437,-0.0012701023309868791,0.019722747984150774,0.11614419279036048,20,0.23228838558072096
q20,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,keyhole_recall,False,0.026672774643784092,0.00802446708313469,0.045744136176439396,0.01624918754062297,20,0.06499675016249187
q20,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,conduction_recall,False,-0.008567823809085218,-0.013936064221192104,-0.0031096119524885195,0.015899205039748013,20,
q20,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,false_negative,True,-0.8,-1.35,-0.25,0.01974901254937253,20,
q20,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,false_positive,True,0.4,0.15,0.65,0.0223988800559972,20,
q20,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,brier_score,True,-0.0020017959621231895,-0.0037131644607355037,-0.00025112581569059807,0.03874806259687016,20,0.11624418779061046
q20,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,roc_auc,False,0.008077137923155453,0.004630790251003191,0.01176665052330067,0.000199990000499975,20,0.000999950002499875
q20,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,pr_auc,False,0.01453911972232046,0.009215407547096174,0.019922163514632926,4.999750012499375e-05,20,0.0002999850007499625
q20,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,accuracy,False,0.005298684246052671,-0.0032040163783584757,0.014406455179481494,0.22343882805859708,20,0.2366881655917204
q20,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,balanced_accuracy,False,0.009052475417349437,-0.001540177123294508,0.019053398038669508,0.1183440827958602,20,0.2366881655917204
q20,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,keyhole_recall,False,0.026672774643784092,0.008110342510196492,0.04521478933272418,0.01559922003899805,20,0.0623968801559922
q20,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,conduction_recall,False,-0.008567823809085218,-0.013980566534914385,-0.00314910480265188,0.015899205039748013,20,
q20,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,false_negative,True,-0.8,-1.35,-0.25,0.01984900754962252,20,
q20,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,false_positive,True,0.4,0.15,0.65,0.02199890005499725,20,
q20,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,brier_score,True,-0.001997958907002376,-0.003645970324418266,-0.0003237221276588388,0.03659817009149543,20,0.10979451027448628
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,roc_auc,False,0.008077137923155453,0.004642263047196866,0.011643184678636495,0.0002999850007499625,20,0.0014999250037498126
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,pr_auc,False,0.01453911972232046,0.009243599950281737,0.020320984079881352,9.99950002499875e-05,20,0.000599970001499925
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,accuracy,False,0.005298684246052671,-0.003802292420713466,0.014442156794130467,0.22533873306334684,20,0.2342882855857207
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,balanced_accuracy,False,0.009052475417349437,-0.0012433962089473394,0.019646366005404016,0.11714414279286035,20,0.2342882855857207
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,keyhole_recall,False,0.026672774643784092,0.008510881799883472,0.04529689569097939,0.016849157542122895,20,0.06739663016849158
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,conduction_recall,False,-0.008567823809085218,-0.013964328859399584,-0.003126024773924381,0.013749312534373281,20,
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,false_negative,True,-0.8,-1.35,-0.25,0.0183990800459977,20,
q20,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,false_positive,True,0.4,0.15,0.65,0.02304884755762212,20,
